agent,episode,total_reward,tasks_completed,tasks_rejected,throughput,avg_latency,fairness,active_nodes_final
RoundRobin,42,195.86235608149562,328,13,0.656,0.0022555555555555554,0.975853443145752,3
RoundRobin,43,174.15940445253253,326,22,0.652,0.0023750000000000004,0.9943749904632568,4
RoundRobin,44,165.02611044887698,310,28,0.62,0.002843434343434344,0.9487369656562805,3
RoundRobin,45,128.74593754728235,305,43,0.61,0.0035012578616352204,0.981842577457428,1
RoundRobin,46,150.39298229924836,305,33,0.61,0.0035555555555555566,0.8591521978378296,5
RoundRobin,47,181.51396683804197,323,21,0.646,0.0029275362318840585,0.890205442905426,4
RoundRobin,48,169.6523094570239,311,24,0.622,0.0025972222222222226,0.9515100717544556,4
RoundRobin,49,179.00219589771817,327,21,0.654,0.0029607843137254906,0.974314272403717,3
Greedy,0,230.12007504677769,334,1,0.668,0.0024000000000000007,0.9715534448623657,5
Greedy,1,224.79921188267068,335,7,0.67,0.0034471544715447156,0.9445859789848328,3
Greedy,2,234.65204651464018,344,1,0.688,0.0028527131782945738,0.9608592987060547,1
Greedy,3,225.3104367605745,334,6,0.668,0.003537878787878788,0.9340474605560303,5
Greedy,4,228.8091782595018,335,5,0.67,0.002594871794871795,0.9273194074630737,2
Greedy,5,221.33621921020747,326,4,0.652,0.0027500000000000003,0.9851489067077637,5
Greedy,6,199.54956727621953,329,21,0.658,0.003051912568306011,0.8399931788444519,4
Greedy,7,219.0758721710443,329,7,0.658,0.0028297872340425534,0.9703109860420227,4
Greedy,8,212.24571831055476,317,8,0.634,0.002626984126984127,0.9204059839248657,3
Greedy,9,233.31934819582108,341,4,0.682,0.0021612903225806455,0.9104170203208923,4
Greedy,10,200.49233400397293,318,15,0.636,0.0029467741935483875,0.9481713175773621,2
Greedy,11,228.5629773132503,346,6,0.692,0.0036290322580645167,0.9149252772331238,2
Greedy,12,229.71654763781032,334,5,0.668,0.0027870370370370375,0.9685901999473572,4
Greedy,13,230.16107800354555,330,1,0.66,0.003005464480874317,0.9286414980888367,5
Greedy,14,242.87420625461138,351,0,0.702,0.002596491228070176,0.974414050579071,4
Greedy,15,211.0230788031518,314,7,0.628,0.0023829787234042558,0.9636215567588806,3
Greedy,16,231.6344883007109,331,2,0.662,0.0027333333333333337,0.9579524397850037,4
Greedy,17,200.82391472448896,323,19,0.646,0.00298758865248227,0.9585204720497131,3
Greedy,18,238.4394498022397,341,1,0.682,0.0028231292517006804,0.9908584356307983,4
Greedy,19,191.9608526585816,314,21,0.628,0.0033142857142857145,0.862318754196167,2
Greedy,20,211.44278045348722,330,11,0.66,0.0031768361581920907,0.9333024024963379,4
Greedy,21,226.1893414819737,345,8,0.69,0.0025333333333333336,0.9836088418960571,5
Greedy,22,184.3182494805554,335,30,0.67,0.002974160206718346,0.8507469892501831,3
Greedy,23,218.89171751734608,329,9,0.658,0.0028604651162790705,0.95494544506073,3
Greedy,24,229.86334233973417,337,4,0.674,0.002575980392156863,0.9833191633224487,4
Greedy,25,219.91501514056316,320,1,0.64,0.0032826086956521745,0.9792696833610535,5
Greedy,26,209.61440344018735,334,15,0.668,0.002980952380952381,0.9570568799972534,4
Greedy,27,217.12065224694203,336,8,0.672,0.0025256410256410257,0.9743013978004456,5
Greedy,28,219.8562603434821,327,6,0.654,0.0028583333333333334,0.9243068099021912,4
Greedy,29,221.062860070318,333,8,0.666,0.0022972972972972977,0.9857821464538574,4
Greedy,30,239.7721043010751,345,0,0.69,0.0029784946236559146,0.9895128607749939,4
Greedy,31,226.16436526028514,334,4,0.668,0.00421304347826087,0.9645618796348572,5
Greedy,32,229.65392087664205,347,8,0.694,0.0029238095238095243,0.8917986154556274,4
Greedy,33,209.6836017038722,339,16,0.678,0.0037555555555555554,0.9211391806602478,2
Greedy,34,243.27740341667328,351,1,0.702,0.0028538011695906436,0.9762016534805298,4
Greedy,35,230.94445658019174,343,5,0.686,0.002611111111111111,0.9697586297988892,3
Greedy,36,220.87989391715325,337,10,0.674,0.0027179487179487187,0.9422982335090637,5
Greedy,37,217.43624629333416,332,9,0.664,0.003861212121212122,0.9903837442398071,5
Greedy,38,222.18941579171997,340,7,0.68,0.003175438596491228,0.982201874256134,4
Greedy,39,203.37995414322808,318,16,0.636,0.0035280141843971645,0.9418671727180481,4
Greedy,40,235.68584941775586,349,3,0.698,0.0031369047619047618,0.9896140694618225,4
Greedy,41,220.37140191984176,319,6,0.638,0.0026666666666666666,0.9520424604415894,4
Greedy,42,233.04570999281196,337,1,0.674,0.0026647435897435897,0.992272138595581,3
Greedy,43,235.67823452795545,344,1,0.688,0.0032222222222222227,0.9698477387428284,4
Greedy,44,216.80856561756138,328,10,0.656,0.003098360655737705,0.9538406133651733,3
Greedy,45,192.33889849379057,327,20,0.654,0.00354530612244898,0.9808884859085083,1
Greedy,46,216.7297570563554,328,10,0.656,0.003763888888888889,0.903765857219696,5
Greedy,47,227.36693170289197,339,5,0.678,0.0037351190476190474,0.9479404091835022,4
Greedy,48,222.64926910609006,331,6,0.662,0.0022222222222222227,0.9787383079528809,4
Greedy,49,229.30173175919046,343,5,0.686,0.003,0.979172945022583,3
Random,0,130.84105451829237,301,35,0.602,0.002992592592592593,0.9858314394950867,5
Random,1,148.25242498717702,312,31,0.624,0.003911111111111112,0.9658940434455872,3
Random,2,127.96673813485108,306,39,0.612,0.0026568627450980395,0.9972525835037231,1
Random,3,137.57711266279222,304,36,0.608,0.002678571428571429,0.9437280297279358,5
Random,4,140.70202321360506,306,34,0.612,0.002777777777777778,0.9497277140617371,2
Random,5,140.54588606163858,299,31,0.598,0.0022500000000000007,0.9657890200614929,5
Random,6,97.28462905655306,294,57,0.588,0.003277777777777778,0.7982311844825745,4
Random,7,125.36550584757327,296,40,0.592,0.003458333333333334,0.9317218065261841,4
Random,8,111.36962450623513,283,43,0.566,0.0023684210526315795,0.873733401298523,3
Random,9,122.72961787110567,304,43,0.608,0.002153846153846154,0.8699580430984497,4
Random,10,132.99227319032948,297,36,0.594,0.0028821138211382116,0.9869734644889832,2
Random,11,134.88708648511766,314,38,0.628,0.002178571428571429,0.8769408464431763,2
Random,12,125.32928363862632,299,41,0.598,0.0022380952380952387,0.9541690349578857,4
Random,13,123.50202495565013,294,39,0.588,0.002966666666666667,0.9155957698822021,5
Random,14,141.69056751492622,317,34,0.634,0.0028333333333333335,0.9921504259109497,4
Random,15,124.61975957318147,287,36,0.574,0.0037852564102564107,0.9570659399032593,3
Random,16,143.51828340811534,302,31,0.604,0.00328888888888889,0.9563964009284973,4
Random,17,92.33870629021528,286,57,0.572,0.0034256756756756756,0.9749875664710999,3
Random,18,173.41198468957344,322,20,0.644,0.0031066666666666664,0.9883885979652405,4
Random,19,65.35331827106077,269,67,0.538,0.0028712121212121217,0.8306336998939514,2
Random,20,118.59373420603076,299,44,0.598,0.0028011695906432752,0.9425011277198792,4
Random,21,115.36507130958634,308,45,0.616,0.0028827160493827162,0.9878827333450317,5
Random,22,62.6429331335326,294,75,0.588,0.0026557971014492753,0.8698235750198364,3
Random,23,110.53872496417165,291,47,0.582,0.002888888888888889,0.9158947467803955,3
Random,24,146.81067926821115,309,32,0.618,0.0024411764705882357,0.9945906400680542,4
Random,25,143.33582480206096,297,26,0.594,0.002858585858585859,0.9913557171821594,5
Random,26,95.80929176573953,296,54,0.592,0.0029734848484848486,0.9553787112236023,4
Random,27,109.3714355505705,300,44,0.6,0.002433333333333334,0.9761926531791687,5
Random,28,109.69018048247693,290,44,0.58,0.0027096774193548392,0.9382894039154053,4
Random,29,118.79680746620895,298,43,0.596,0.0027250000000000004,0.9535799026489258,4
Random,30,125.53676480484009,305,40,0.61,0.0027391304347826094,0.9806730151176453,4
Random,31,131.00945179483293,303,35,0.606,0.00278125,0.9741663932800293,5
Random,32,114.42128076769909,307,48,0.614,0.002888888888888889,0.9044874310493469,4
Random,33,94.39323272758722,298,58,0.596,0.0029117647058823533,0.8696886301040649,2
Random,34,128.85546192375818,312,40,0.624,0.0030162601626016264,0.9765461683273315,4
Random,35,146.0411200057566,313,34,0.626,0.003024390243902439,0.9733068346977234,3
Random,36,89.55641203243536,291,56,0.582,0.003357723577235772,0.950072169303894,5
Random,37,130.4542145200968,301,40,0.602,0.0027931034482758625,0.9713940024375916,5
Random,38,133.52460723794505,309,38,0.618,0.0030125786163522016,0.9732961654663086,4
Random,39,100.66260015285016,282,53,0.564,0.0024142857142857147,0.95731121301651,4
Random,40,113.5810964272916,308,45,0.616,0.0033571428571428576,0.9724282622337341,4
Random,41,147.06903229771058,297,30,0.594,0.0029551282051282052,0.9459362626075745,4
Random,42,147.45591570835305,311,30,0.622,0.002638095238095238,0.9859733581542969,3
Random,43,166.23150253360473,325,22,0.65,0.0025724637681159425,0.9707411527633667,4
Random,44,97.77680369811257,288,51,0.576,0.003376666666666667,0.966144323348999,3
Random,45,90.74455230837002,291,56,0.582,0.004788296296296297,0.971403956413269,1
Random,46,116.35628093164165,294,45,0.588,0.003280701754385965,0.8961197137832642,5
Random,47,124.95139013097686,304,40,0.608,0.0029909909909909913,0.922033429145813,4
Random,48,125.56802120747169,296,40,0.592,0.002466666666666667,0.9704539179801941,4
Random,49,142.03036716394615,316,33,0.632,0.0026455399061032867,0.9721272587776184,3
